u,g,r,i,z,redshift,class
21.28246,20.7321,20.53569,20.535,20.4365,2.463468,1
17.75452,16.84839,16.49037,16.36616,16.34642,0.0004979549,2
19.99248,18.35822,17.5158,17.03938,16.74441,0.09155775,0
20.32594,18.48481,17.63527,17.24304,16.93349,0.07699213,0
18.76233,17.6293,17.23127,16.9689,16.90891,0.04877574,0
19.50767,18.59162,18.28846,18.21259,18.14762,0.001149463,2
23.69237,22.23717,20.6396,19.63748,19.21221,0.5258287,0
23.64505,22.31464,21.64843,20.73298,20.49164,0.6340646,1
22.86782,20.47916,18.93428,17.86903,17.256,9.188559e-06,2
17.60445,17.65392,17.94318,18.18256,18.37436,-9.019608e-05,2
20.88973,20.69584,20.09605,19.64521,19.28256,1.956842,1
21.31914,21.178,21.22939,20.88135,20.69456,1.857182,1
21.65885,19.73975,17.94768,17.31469,16.9369,0.3426569,0
22.46375,21.31787,19.57289,18.82141,18.30761,0.4391082,0
27.41713,21.41985,19.56452,18.80827,18.37569,0.40664,0
23.89217,22.09788,20.34673,19.48878,19.13219,0.4459081,0
23.117,21.55176,21.35046,21.47617,21.55964,2.439245,1
22.58377,23.04153,21.07882,19.81712,19.46144,0.6370355,0
22.62271,21.25196,19.95447,19.43844,19.12233,0.2286649,0
20.07505,18.11445,17.09621,16.67124,16.31618,0.1120052,0
25.6455,22.05671,20.47466,19.63,19.19631,0.5045882,0
24.20865,23.85839,22.02098,20.43515,19.71215,0.7199159,0
17.73852,16.7718,16.50267,16.39793,16.37526,-0.0003928143,2
19.25681,19.11906,18.8899,18.74261,18.7112,1.434081,1
19.93064,19.89508,19.61422,19.61663,19.65079,1.112909,1
23.47951,24.39289,22.56483,21.03091,19.87856,0.894271,0
22.33396,19.89666,18.30049,17.68789,17.31097,0.2866149,0
22.82468,22.62965,20.5432,19.62619,18.92993,0.5170506,0
22.44247,20.96329,20.00247,19.47096,19.38536,0.2358172,0
20.86901,21.36582,21.029,19.89846,18.49573,1.381046e-06,2
23.67072,21.9793,20.46189,18.82378,17.94322,0.0001394539,2
22.39944,21.57996,21.58976,21.78189,21.74413,2.378698,1
20.50601,19.52817,19.0928,18.99275,18.91003,-0.0001305864,2
19.2919,19.20567,19.08846,18.9393,18.71162,2.08604,1
25.08005,22.22128,20.53543,19.72607,19.28559,0.4557081,0
21.84729,21.87247,21.72118,21.4909,21.67242,1.555367,1
22.05752,21.50201,21.54583,21.87191,21.47696,0.000286923,2
18.48065,17.50563,17.21731,17.12042,17.1049,-0.000120151,2
24.90693,23.05928,21.73278,21.24181,22.90763,-0.000174293,2
22.01795,21.21673,20.60947,20.40488,20.07596,-0.0001075865,2
21.82992,20.94414,19.25166,18.59955,18.19663,0.3422332,0
23.24885,22.49474,21.23301,21.18058,20.99634,0.2906422,0
21.39335,21.81972,21.26867,21.43251,21.4527,1.360153,1
21.71454,21.50845,21.15755,20.88323,20.77028,1.376367,1
21.71513,21.86061,21.37914,21.61485,21.02406,0.971627,1
23.3215,24.44981,22.5959,20.86173,19.74163,1.046292,1
21.26225,21.01805,20.77174,20.73369,20.59562,2.070155,1
17.44952,16.30551,16.14279,16.09991,16.10943,-0.0002935785,2
23.18424,21.97118,20.45648,19.45196,18.88261,0.547537,0
25.74669,21.70976,19.98877,19.11826,18.72215,0.4691875,0
19.38494,19.14425,18.74875,18.60647,18.63622,1.1347,1
19.51546,18.57548,18.31958,18.21963,18.17978,-0.000158627,2
22.19172,22.27641,21.95169,21.71311,21.21985,0.9809393,1
19.29355,18.36694,18.13199,18.04275,18.08226,-0.0001721546,2
25.01481,22.43798,21.15261,20.11412,19.62859,0.6007478,0
25.98327,22.83916,21.21385,20.22006,19.57979,0.5627551,0
21.90549,21.292,20.96805,21.33318,20.77896,0.0002217295,2
24.8915,22.81903,21.21216,20.49003,19.77135,0.4258096,0
22.5112,21.83141,21.21877,20.99867,21.06993,0.002873525,2
21.86263,20.67101,20.13649,19.91774,19.69542,-0.0002788647,2
22.81368,21.40454,21.3443,21.10585,20.70694,-0.0003126121,2
22.4136,21.52308,21.10229,20.96568,20.90661,0.8593132,1
18.78235,17.80082,17.45737,17.32614,17.27579,-0.000307443,2
22.7195,21.28172,19.9468,19.12327,18.67364,0.5040639,0
20.26551,18.55463,17.68291,17.28275,17.0212,0.0701405,0
24.63465,20.38689,20.68974,19.95338,22.82689,-4.268124e-05,2
23.08501,21.1398,20.46647,20.21024,20.05146,0.0002527896,2
23.1354,21.82663,21.46489,21.43425,21.3306,2.309405,1
23.11899,22.38336,20.72145,19.72473,19.37815,0.5726035,0
23.69263,24.08904,23.46891,21.45705,19.63268,-3.379096e-06,2
22.98871,20.34238,19.31916,19.04185,18.87937,0.001222535,2
23.07829,21.58776,21.28722,21.35401,21.15085,0.0002992208,2
22.31489,21.9833,21.72888,21.60083,21.0347,1.583845,1
16.80964,15.3683,14.82302,14.62297,14.54812,-0.0001984423,2
17.6075,16.67524,16.37058,16.27384,16.25868,-0.0007044664,2
21.31659,21.00472,21.10042,20.88827,20.76374,2.170853,1
19.88222,19.67099,19.39375,19.26177,19.16288,1.105112,1
22.30345,22.03199,21.55568,20.9902,20.82536,0.6474143,1
21.70455,21.58958,21.24066,21.28038,21.59536,1.103053,1
20.88912,20.00042,19.81246,19.99309,19.82789,2.811957,1
20.53842,17.89776,16.82759,16.40008,16.15038,0.0001850273,2
21.62627,21.32789,20.91548,20.62025,20.19108,1.957739,1
22.16114,22.15984,21.90338,21.72325,21.43471,0.9254097,1
21.99527,21.60341,21.24737,21.26454,21.13193,1.040116,1
22.28031,22.10238,21.66062,21.60695,21.20483,1.232556,1
22.11094,21.62923,21.34178,21.23503,20.96435,1.292631,1
22.10979,21.1945,20.26309,19.37771,18.94811,0.6658334,0
19.81903,18.84299,18.72263,18.69811,18.71545,0.0008606365,2
24.2691,23.2651,19.97039,19.17871,18.84146,0.4339528,0
21.9571,20.92815,19.00767,18.28876,17.70411,0.5836259,0
22.60686,22.28126,20.86465,19.58906,19.05877,7.252657e-05,2
22.14923,21.02219,20.5751,20.52208,20.26726,9.838106e-05,2
24.63514,21.70143,21.07597,20.97079,20.8609,-3.531241e-05,2
20.35152,19.9596,19.5226,19.28094,18.87613,0.3921928,1
18.35146,17.22173,16.75932,16.58459,16.49329,-0.000317662,2
16.75385,16.46879,16.18658,16.10616,16.09148,1.216814,1
23.71868,23.2874,21.80691,20.70057,19.90837,0.5365658,0
19.94403,18.75869,18.23577,18.12896,18.04643,0.0006973978,2
19.00146,17.57826,17.07176,16.90046,16.84247,-0.0002079174,2
21.86867,21.15354,20.8669,20.68123,20.34579,4.100612,1
24.17979,21.07171,19.283,18.60635,18.16811,0.4124534,0
21.74382,21.04523,20.61192,20.08007,19.6714,0.5781533,1
23.65851,20.9492,19.04419,18.36187,17.97706,0.3717502,0
22.72596,22.13059,21.46025,21.03362,20.60738,1.931582,1
22.07316,21.47358,21.21778,21.29105,20.93242,2.496699,1
23.675,21.15909,19.24417,18.4713,18.07939,-0.0001407571,2
21.74014,19.27121,17.78669,16.79077,16.23529,-1.679113e-05,2
20.64602,19.66417,19.35356,19.21629,19.25296,0.000936178,2
23.50326,22.36958,20.4707,19.63058,19.45498,0.4091224,0
24.02307,23.21659,22.70642,21.96435,21.72228,0.9305025,0
24.3923,24.1159,21.95863,20.57854,19.78773,0.698614,0
23.46943,22.30444,20.42634,19.76435,19.33822,0.423988,0
20.36568,18.44684,17.5518,17.09742,16.81059,0.07782444,0
19.92531,18.10916,17.1603,16.65776,16.26057,0.09563363,0
23.39297,21.75105,19.90714,18.92811,18.59915,0.5334774,0
21.85187,21.17811,20.08129,20.15166,19.9234,0.3256452,1
19.51566,18.50363,18.47517,18.53832,18.57066,-0.0002319925,2
20.2331,19.28574,18.97634,18.86166,18.80912,-0.001040991,2
24.23509,23.86352,21.71691,20.39945,19.60496,0.6527412,0
22.48323,21.49865,21.07452,20.79518,21.12619,1.51636,1
18.93689,19.07687,18.73114,18.69877,18.70723,1.301314,1
19.50918,19.43721,19.27342,19.14804,18.86273,2.085091,1
22.89649,22.25119,20.9061,20.04544,19.55515,0.543572,0
22.95651,19.82764,18.28434,17.70431,17.3427,0.2775564,0
19.5987,18.54653,18.28721,18.18432,18.16228,0.0003147441,2
25.16429,21.78634,19.98995,19.08649,18.58212,0.4769161,0
22.33277,20.33269,18.55908,17.96236,17.59235,0.3458009,0
25.94907,26.23504,23.38391,21.82333,20.01706,-7.823914e-05,2
18.95985,18.03237,17.69533,17.57334,17.51155,-0.0003110488,2
25.40001,21.98916,21.49538,21.26722,21.93958,5.043422e-05,2
25.87668,22.14938,20.93288,20.1271,20.46538,5.556233,1
19.73951,18.32839,17.6238,17.22239,17.00659,0.1086281,0
20.86954,19.29034,18.02072,17.38564,17.02272,0.2295049,0
20.64568,18.35711,16.95989,15.78617,15.16718,-0.0001246968,2
21.04587,20.63813,20.65395,20.34478,20.19259,0.5430138,1
18.69689,17.67475,17.3293,17.18935,17.09692,-0.0003631408,2
20.25533,20.02507,19.81424,19.8192,20.12407,0.9999731,1
19.81621,19.69738,19.73318,19.46685,19.51935,1.788779,1
20.66228,20.63167,20.39847,20.27818,20.23648,1.976087,1
19.74812,18.25564,17.66683,17.4454,17.35792,-0.0001604135,2
24.76438,22.87323,21.51932,20.24253,19.61578,0.6755009,0
22.35638,21.926,22.05998,22.16171,21.34761,-0.0007263487,2
24.63989,21.8737,21.53844,21.44326,21.59483,0.0005069294,2
22.74239,21.84232,21.86279,22.04565,21.73828,-0.0001333962,2
19.77189,18.0623,17.38054,17.06862,16.85127,0.05770249,0
23.28845,22.02621,20.53175,19.64094,19.32831,0.6400641,0
23.09639,23.36492,21.34748,20.24418,19.63345,0.5790845,0
23.83114,21.36896,20.85637,20.63965,20.58589,0.0003202828,2
19.43425,17.77614,17.15547,16.92839,16.82062,3.784582e-05,2
21.3825,20.50718,19.77169,19.64795,19.21518,-0.0003839587,2
20.49858,18.38789,17.41477,16.97619,16.61275,0.1064676,0
23.2417,21.41319,21.12747,21.13383,21.22565,0.001184573,2
18.94258,17.51169,16.88313,16.51918,16.30887,0.07644171,0
24.56511,23.8004,21.88165,20.7753,19.82256,1.474262,1
24.97847,21.68348,21.11756,21.00891,20.84003,1.082816,1
22.61086,21.90652,22.1899,22.22049,21.72953,1.487883,0
22.6261,21.37401,19.62946,18.6628,18.12648,0.5057374,0
26.17581,24.4141,22.4922,20.7149,19.87273,-0.0001372719,2
23.52191,25.61108,23.25723,20.57575,18.88836,0.0001013031,2
21.97168,21.81115,21.60554,21.65924,22.10403,1.813721,1
22.68586,21.5785,21.57473,21.10343,20.55635,0.606325,1
23.73323,21.45201,20.74011,20.53121,20.05886,2.476322,1
22.28733,21.30409,21.29622,21.19265,21.44743,2.496845,1
21.08846,20.93559,20.9081,20.53482,20.53682,1.71852,1
23.50533,21.16235,21.13061,21.23464,21.1741,0.0006709172,2
18.38361,17.42407,17.07968,16.93837,16.90844,-0.0001043598,2
21.52413,21.08722,20.88202,20.58539,20.44971,1.971318,1
19.16218,19.05176,19.03871,18.84525,18.83534,1.688011,1
21.08752,21.09286,20.74366,20.38119,20.64213,1.50603,1
23.66781,25.12101,21.91446,20.52726,19.85504,0.714943,0
23.75859,22.70511,21.10892,19.72696,19.24069,0.6635694,0
21.7314,22.42679,21.57384,20.55456,20.02789,0.7773077,0
21.22685,20.84294,20.61356,20.5325,20.24328,2.080074,1
19.97725,18.39414,17.70395,17.37591,17.19954,0.0003802903,2
20.73747,18.02428,16.75987,16.22402,15.93726,-1.246669e-05,2
24.22132,24.85296,23.76295,21.37263,19.49031,-9.368888e-05,2
19.66625,19.27143,19.07771,19.11828,19.09359,0.9367908,1
22.99178,21.71921,21.57322,21.84128,21.39367,0.002187061,2
22.82509,21.94925,20.34652,19.52928,19.06822,0.4694895,0
22.30918,20.66554,20.39726,20.29183,20.33353,-0.0002951027,2
20.46652,20.12026,19.81537,19.76366,19.75987,1.33844,1
18.93806,17.98574,17.73033,17.64581,17.63756,0.0001828716,2
20.3613,19.87769,19.9338,20.01899,19.91714,0.7062926,1
20.19268,20.2256,19.73069,19.79123,19.94808,1.250002,1
23.43272,21.06124,20.55757,20.24573,20.14035,-0.0003426663,2
21.1834,20.67672,20.65878,20.61134,20.36486,2.036507,1
17.95526,16.97229,16.65408,16.53627,16.49466,-0.0008878284,2
18.60265,17.65566,17.24067,17.04872,16.99543,-0.0006109108,2
20.35572,19.50308,19.13995,18.98558,18.97254,-4.094822e-05,2
17.07742,15.46362,14.87717,14.67488,14.587,-0.0001641789,2
22.22631,22.25442,21.97233,21.92707,21.40147,0.8118176,1
22.22645,20.63357,19.89904,19.6224,19.4482,0.0005062839,2
21.31495,20.81786,20.53138,20.37693,20.53013,3.165761,1
18.3565,16.90162,16.37434,16.19494,16.12788,-3.69477e-06,2
18.8825,17.63595,17.19467,17.02307,16.96818,-8.592325e-05,2
19.84649,19.52978,19.02868,17.38325,18.33344,-0.0002191381,2
22.28302,21.3785,21.33978,21.17351,21.2299,0.6232528,1
23.86219,20.41166,18.78734,17.7358,17.2037,4.23335e-05,2
26.27693,23.3399,21.56919,19.36075,18.20682,0.000105379,2
25.44636,22.41401,21.86217,20.87246,20.29675,5.590328e-05,2
20.77105,18.91244,18.14144,17.83574,17.6778,-0.0001473767,2
20.92707,20.5,20.5363,21.82393,21.66359,0.00859877,0
19.46483,17.70341,17.06277,17.74035,16.71624,0.0001648376,2
22.84608,22.45575,21.81188,20.86378,20.3896,0.8331207,0
21.78706,21.3647,21.16916,20.94322,21.03343,1.413255,1
20.34486,18.49861,17.54856,17.08065,16.74703,0.05198678,0
22.03835,21.02974,19.90093,18.99514,18.28805,-2.628744e-05,2
19.95969,18.20528,17.53088,17.27872,17.17262,0.0001831779,2
21.30597,21.3733,21.11468,21.02356,21.0219,1.283737,1
20.65995,20.51237,20.10591,20.16146,20.04747,1.109233,1
26.51373,22.24742,21.44759,20.27682,19.51501,1.670277,1
22.45912,22.29207,20.43938,19.49626,18.98382,0.4996168,0
22.9205,22.2136,21.32648,20.54602,23.2773,0.618495,0
21.41583,21.55917,21.69191,21.44001,21.45234,1.730398,1
22.85773,22.18874,21.35562,21.26577,20.93935,1.174289,1
21.97776,21.64733,21.38364,21.1759,20.72747,0.9245854,1
23.10152,22.24834,20.90742,19.8888,19.49214,0.5428432,0
20.07,18.87251,18.3985,18.22033,18.18089,-0.0007346393,2
21.00783,20.78212,20.84279,20.42208,20.5495,1.925419,1
22.11267,20.50673,19.32347,18.84271,18.4251,0.3416893,0
19.42518,18.55202,18.0713,17.7449,17.62252,0.1273489,0
24.61783,21.84229,20.71496,19.41653,18.65945,-0.0001543185,2
20.02052,18.80256,18.50538,18.3955,18.40615,0.0002221721,2
18.92417,17.38327,16.79194,16.57875,16.49566,-0.0002213913,2
19.77556,18.21193,17.61683,17.3917,17.28055,0.0002754283,2
21.28087,19.80008,19.2822,19.09058,18.97495,0.0002788242,2
23.04725,21.77647,20.28856,19.50278,19.08732,0.4807002,0
20.02961,18.57427,17.63192,17.19832,16.895,0.1609732,0
25.98001,23.96174,22.06459,20.51645,19.66128,-7.6006e-05,2
24.24305,22.40621,20.89272,19.92404,19.87753,0.4419846,0
20.32429,20.09862,19.85993,19.90571,19.81557,1.119396,1
22.27341,22.09124,21.89097,21.55807,20.99124,0.9113072,0
22.70318,21.85229,20.45144,19.62209,19.13165,0.4904819,0
24.83404,22.00353,20.04798,19.14599,18.7332,0.4855757,0
19.11888,18.12081,17.84721,17.75811,17.75336,-0.0003212283,2
22.17116,22.58519,20.89814,19.71101,18.84559,0.7611324,0
21.20869,19.92889,19.38444,19.19594,19.01153,0.0003801689,2
19.56597,18.94942,18.84129,18.75033,18.52708,2.215741,1
23.60007,22.67949,21.11281,19.89855,19.21813,-0.0004589261,2
20.98306,18.61463,17.24279,16.27587,15.75113,-0.0002000438,2
25.11707,21.81378,20.14108,19.2113,18.62912,0.5248038,0
19.71898,18.33889,17.60136,17.20814,16.93991,0.09389272,0
24.5524,20.85983,19.12007,18.47959,18.01028,0.3355187,0
22.75801,22.09018,21.91592,21.74117,22.10687,1.615613,1
24.80311,22.83752,20.93241,19.90092,19.31373,0.5179266,0
21.21775,18.90427,17.51087,16.83395,16.45627,-3.343994e-05,2
24.25881,22.45553,20.42575,19.38658,18.92088,0.5609403,0
23.9867,23.74361,22.70795,21.21754,19.24279,1.531327,1
20.19784,19.95937,19.08969,18.64386,18.25653,0.4018716,1
20.22701,19.0589,18.75701,18.58771,18.53156,-0.0005077403,2
19.73956,18.78222,18.42493,18.29346,18.25771,-0.000107098,2
24.60932,22.806,21.05032,19.93379,19.42355,0.650215,0
22.50198,21.94791,21.73915,21.76485,21.68248,1.333379,1
26.16892,22.33223,20.60041,19.23338,18.55777,0.669578,0
20.81579,18.88438,17.93802,17.53485,17.1868,0.1042048,0
23.94735,21.41037,19.8832,19.04387,19.07197,2.736772e-05,2
21.58667,20.91585,20.87062,20.92305,20.36763,2.38675,1
22.37163,21.06812,19.20133,18.49461,18.05714,0.3961534,0
21.84387,19.91504,18.66752,18.13918,17.84882,0.2269911,0
21.52149,19.19581,17.64212,16.03908,15.17606,-2.780904e-05,2
19.51091,19.00568,19.14613,19.06058,19.01785,0.6523329,1
20.38316,20.25303,20.03715,19.7907,19.75784,1.694454,1
26.30152,22.38884,20.32596,19.29661,18.78136,0.5535685,0
20.2567,19.2261,18.99897,18.86659,18.91996,-5.284845e-05,2
25.77774,24.40545,21.77828,20.61954,19.93555,0.8321149,1
23.61185,21.64452,21.41565,21.18097,21.14796,-0.0002384018,2
22.779,22.21528,21.65956,20.54525,20.68037,0.6070406,1
23.05717,23.30628,21.61761,20.19298,19.43837,0.6706215,0
22.03109,21.77589,20.9445,20.08589,19.44244,0.7021353,0
23.35221,20.7543,19.08785,18.37656,17.95671,0.416936,0
19.12679,18.24772,17.90529,17.77497,17.71174,-0.0002455798,2
22.13461,20.97395,20.56556,20.41758,20.01768,2.452667,1
25.24674,21.09441,19.5062,18.5674,18.23253,0.5005699,0
23.03251,24.24134,21.96312,20.74819,19.77775,0.8493912,0
20.97667,18.64184,17.42392,16.90829,16.4813,0.1995319,0
23.80423,22.23596,20.44073,19.32956,18.82296,0.5759712,0
19.71939,19.41199,19.21082,19.04017,18.91852,2.013029,1
24.98646,22.0726,20.13486,19.22213,18.72617,0.4682902,0
23.39135,21.07255,19.23765,18.37136,17.81345,0.4579096,0
20.76409,19.91596,19.61364,19.47803,19.1974,2.265448,1
23.34963,24.38721,21.99007,20.75984,19.62036,0.6540741,0
23.8192,20.75227,19.01156,18.40074,18.01253,0.3171055,0
24.8549,24.52308,23.5615,21.29633,19.46819,-0.0001456551,2
21.90312,21.52477,21.24029,21.40076,21.06603,-3.330491e-06,2
23.74409,22.08417,21.39783,21.06237,20.66068,1.822473,1
21.09037,21.05605,20.95561,20.74317,20.5534,1.45904,1
22.17923,21.65181,21.68735,21.71911,21.09208,2.457249,1
21.99448,21.63174,21.32284,20.71016,20.72733,1.662464,1
21.19072,20.07064,20.09358,20.21071,20.05148,-6.085376e-05,2
22.27666,20.05824,19.37636,18.99252,18.78656,0.03601843,0
22.41113,20.14507,18.52626,17.91763,17.5537,0.2940947,0
21.41413,18.45665,17.00948,16.47238,16.12444,0.2235106,0
24.18278,22.85176,21.3751,20.85671,20.38352,-0.0004448147,2
21.03435,20.83033,21.00645,20.63073,20.64623,1.733601,1
20.28839,18.96247,18.20652,17.92048,17.49161,1.811029,1
26.11876,23.26869,22.23742,20.85137,19.94761,0.6950512,0
23.06411,23.53673,21.47578,20.32217,19.60216,0.678176,0
19.09892,17.79578,17.06725,16.6288,16.33705,0.07083911,0
23.05295,21.77314,21.61768,21.55876,21.66874,0.8991094,1
24.75368,23.1179,21.30935,20.26019,19.73167,9.59557e-05,2
23.50151,21.98602,20.35035,19.49401,19.12651,0.5458477,0
19.76826,18.56806,18.1517,18.0053,17.94954,4.693774e-05,2
22.3846,22.97013,20.82389,19.65223,18.95822,0.6429035,0
24.94814,22.89765,21.19396,19.91174,19.43891,0.6645597,0
21.81335,19.31215,18.17184,17.72256,17.44618,0.0001799868,2
18.56401,17.37108,16.93302,16.65774,16.4853,0.04354761,0
20.9183,20.22304,19.85331,19.59113,19.23089,0.7466887,1
21.11821,18.55073,17.07813,15.81284,15.11516,2.605977e-05,2
21.6085,20.48787,20.43853,20.44199,20.31287,-0.0002903845,2
23.97182,21.72775,20.28832,18.92071,18.24491,-7.838313e-05,2
23.90307,21.94313,20.40394,19.5052,19.03276,0.4880176,0
22.22435,20.91609,19.25139,18.28306,17.76674,0.5086708,0
21.50359,20.65346,20.56577,20.38908,20.44886,-0.0001793574,2
20.34339,19.2896,19.01971,18.94898,18.91002,0.0002510925,2
19.68159,18.68257,18.44661,18.37431,18.34277,0.0002422054,2
24.12444,21.96902,21.48764,21.12295,21.12535,2.1692,1
24.63463,24.28433,21.99996,20.10388,22.82689,-0.0001623213,2
22.78057,21.38032,20.12449,19.37685,18.90473,0.5417328,0
20.20983,19.21111,18.86798,18.72728,18.6631,-0.0007013557,2
20.05708,18.95173,18.64148,18.54993,18.5772,-4.367385e-05,2
19.13759,17.89257,17.4337,17.14787,16.95765,0.07691237,0
24.87808,21.4684,20.06246,20.00871,19.92262,3.907407,1
19.53404,17.71665,16.90171,16.71384,17.21723,0.1247215,1
21.59138,19.53393,18.17086,17.58372,17.25405,0.2048286,0
23.08392,21.32463,21.36893,21.33019,21.74482,2.824681,1
21.23643,20.62094,20.54531,20.49216,20.11705,0.797568,1
20.16076,20.05686,19.73973,19.73073,19.59558,1.158895,1
20.87739,20.34043,20.23828,20.11345,20.00156,2.468634,1
22.23641,22.47165,21.17093,19.94389,19.44601,0.5299524,0
24.2279,22.88943,21.22114,19.94662,19.46612,0.626922,0
21.83123,19.40348,17.97046,16.6664,15.98312,2.916649e-05,2
20.85135,20.9576,20.58417,20.53269,20.25205,1.317979,1
19.61566,17.52732,16.63234,16.25522,16.05124,3.83921e-05,2
22.1581,22.10067,20.38743,19.46618,19.0219,0.5170934,0
24.10992,23.55569,22.07953,20.79634,19.64811,-0.0001475297,2
20.79674,18.4869,17.47272,17.11608,16.87571,-4.894168e-05,2
19.63758,18.29361,17.30425,16.76858,16.39178,0.1663983,0
25.68022,23.22202,22.07478,20.62312,19.96216,0.6681414,0
16.20471,16.22699,16.61088,16.91682,17.23205,-2.511133e-05,2
18.11178,16.7986,16.3197,16.16459,16.10404,-9.809594e-05,2
25.00381,20.84236,20.52017,20.53733,20.33193,3.362642,1
25.5313,21.10307,19.68514,18.84367,18.35551,0.4802381,0
24.62995,21.90168,20.48986,19.42793,18.72029,8.794479e-05,2
19.12764,17.16986,16.53999,16.42149,16.21919,0.0001029309,2
25.06192,22.54773,21.10527,20.95113,21.59788,3.747161,1
23.27775,22.66525,21.6817,21.38264,22.11904,0.6089539,0
27.07105,21.99441,20.32165,19.43004,18.90751,-8.812844e-05,2
19.73495,19.55834,19.27703,19.04296,18.61832,0.3702773,1
22.9139,21.91209,20.54827,19.87743,19.37568,0.3748302,0
22.48999,20.52609,19.12804,18.22355,17.71703,-9.102478e-05,2
19.18482,18.1708,17.74002,17.56429,17.47685,0.0003529624,2
22.87626,21.64652,21.64332,21.27179,20.59282,2.649564,1
22.338,21.30897,21.44537,21.36982,20.62007,2.350066,1
22.60379,21.86023,21.60936,21.78101,21.13437,-0.0006107409,2
23.34892,20.96047,20.20817,20.03765,19.98355,-1.174479e-05,2
19.25175,18.61183,18.30996,18.21245,18.24575,0.000198832,2
24.04253,23.68952,21.22476,20.05274,19.47632,0.6101226,0
21.51779,19.94116,19.09928,18.3855,17.74483,1.766974,1
23.80103,21.62671,21.25509,21.17896,21.33886,-0.000413722,2
24.37563,21.85736,20.31922,19.49504,19.01538,0.4568381,0
23.8608,21.398,20.95737,20.5308,20.52847,1.302747,1
21.83468,21.22237,21.02345,20.90063,20.43943,-0.0005883127,2
20.35666,18.5091,17.50916,17.04787,16.66663,0.1133419,0
24.58337,24.01678,22.3938,20.7616,19.82185,2.699222e-05,2
22.32792,21.696,20.90931,20.27936,20.06843,1.481623,1
19.29947,19.06459,18.87444,18.72162,18.8154,1.462685,1
20.61952,20.57287,20.56635,20.34146,19.97301,2.038367,1
23.33137,21.72186,21.36849,21.18902,21.19798,6.147009,1
23.90571,21.78861,21.28431,21.11736,20.46843,2.89501,1
20.03559,18.24396,17.54119,17.29241,17.15893,-5.708827e-05,2
27.22416,21.49358,19.79296,18.94909,18.65163,0.4382567,0
19.05326,17.70153,16.93447,16.53912,16.19734,0.1136606,0
20.4648,18.5803,17.4821,16.99759,16.64478,0.1455618,0
17.95075,17.02786,16.6676,16.53671,16.53282,-8.09647e-05,2
23.95959,22.4143,21.51976,21.02791,20.42962,0.8274292,0
19.27924,18.23704,17.90141,17.76726,17.72121,0.0004833347,2
21.77998,20.1576,19.31996,18.98167,18.77545,-0.000204102,2
24.5183,23.38903,21.80144,19.40809,18.06962,-6.331332e-05,2
23.43787,22.51833,21.91142,21.73211,21.59555,-5.070126e-05,2
21.64928,21.10778,21.02424,21.0055,20.90645,2.377875,1
23.82697,23.24812,21.6393,20.61962,19.8346,0.5621355,0
22.75363,21.66493,21.56114,21.4671,20.91239,-0.0007403066,2
18.85133,17.92512,17.57913,17.47823,17.4156,-0.0004753989,2
18.02749,16.99188,16.64302,16.51225,16.48198,-2.341755e-05,2
20.54948,19.16036,18.59183,18.39279,18.29448,0.0003562454,2
19.11103,18.16282,17.83489,17.72958,17.69131,-0.0002084085,2
20.30377,20.15033,20.47258,20.7619,20.76756,8.628173e-07,2
18.54801,17.14668,16.57316,16.33732,16.21672,-1.096837e-05,2
22.84873,21.28486,20.17338,19.16768,18.55861,-5.2983e-05,2
22.14883,22.16743,21.92119,21.98712,22.95779,1.677826,1
20.01246,20.01856,19.93136,19.69164,19.70931,1.840631,1
19.24895,18.20978,18.12218,18.12081,18.1538,-0.001069428,2
24.22372,21.40512,20.93681,20.76651,20.84747,-0.001269599,2
21.17979,19.16207,17.80498,17.2973,16.93822,0.2135152,0
24.29632,21.67997,21.51168,21.78759,21.7294,3.075562,1
24.06213,23.62157,21.50892,20.4842,19.78737,-0.0001347371,2
22.28323,19.60016,18.14629,17.42527,16.99689,4.200155e-06,2
23.0394,22.11996,22.04259,22.18756,21.74572,0.0002027168,2
19.26117,18.26491,17.8946,17.71584,17.58332,-0.0001036812,2
19.19604,17.59424,16.8432,16.43898,16.18492,0.07598735,0
23.62097,25.87584,21.81331,20.72472,19.80754,0.5305979,0
19.2643,17.21771,16.34836,15.91622,15.58052,0.05755566,0
22.56441,21.3737,21.23494,21.43185,21.62302,-0.0001240505,2
17.80626,16.8128,16.46874,16.34958,16.31914,-2.359936e-05,2
24.00021,21.75237,20.14426,19.13559,18.45145,0.5513051,0
19.95213,19.5942,19.33714,19.27348,19.24784,1.06185,1
23.85703,22.91158,21.10993,20.05009,19.44787,0.5580299,0
21.86416,21.41541,20.52289,19.77512,19.79126,0.6017459,0
24.81007,21.48482,19.57423,18.8821,18.43216,0.3957491,0
20.69605,17.21629,15.81326,15.21713,14.8378,-6.578014e-05,2
19.18375,17.82713,17.32646,17.07091,16.93789,-0.0002347857,2
23.82823,22.96406,21.56973,20.47219,19.59914,0.6964091,0
21.9657,21.34326,21.08632,20.71685,20.69793,0.6429258,1
17.49503,16.57164,16.37063,16.29037,16.27588,-0.001013083,2
22.37691,21.67817,21.58979,21.63016,21.52963,2.501851,1
24.14116,21.049,19.14892,18.33146,17.99256,0.4224031,0
24.06777,21.75984,20.46864,19.59575,19.09166,0.5810257,0
21.78411,19.91166,18.17094,17.50287,17.0888,0.3402256,0
21.91614,21.04221,21.12836,21.05192,20.8894,2.390057,1
